Date,btc_price, sf, act_add ,CPI,FED_Rate ,Google_Tre
1/7/2010,0.1,0.5,23533,1.2,0.2,0.5
1/8/2010,0.1,0.7,11492,1.1,0.2,0.5
1/9/2010,0.1,0.9,14753,1.1,0.2,0.5
1/10/2010,0.2,0.9,16428,1.2,0.2,0.5
1/11/2010,0.2,1,20235,1.1,0.2,0.5
1/12/2010,0.3,1.1,21339,1.5,0.2,0.5
1/1/2011,0.5,1.3,36055,1.6,0.2,0.5
1/2/2011,0.9,1.3,60501,2.1,0.2,0.5
1/3/2011,0.8,1.5,90972,2.7,0.1,0.5
1/4/2011,3.5,1.6,98024,3.2,0.1,1
1/5/2011,8.7,1.2,201850,3.6,0.1,1
1/6/2011,16,1.4,460895,3.6,0.1,3
1/7/2011,13,1.9,530205,3.6,0.1,1
1/8/2011,9,2.3,426842,3.8,0.1,1
1/9/2011,5.4,2.5,317233,3.9,0.1,1
1/10/2011,3.4,2.8,240115,3.5,0.1,1
1/11/2011,3,2.6,224131,3.4,0.1,1
1/12/2011,5,2.5,198864,3,0.1,1
1/1/2012,5.7,2.5,236111,2.9,0.1,1
1/2/2012,4.9,2.8,247508,2.9,0.1,1
1/3/2012,5,2.7,254400,2.7,0.1,1
1/4/2012,5,3,281958,2.3,0.1,1
1/5/2012,5.2,3,514270,1.7,0.2,1
1/6/2012,6.7,3,682181,1.7,0.2,1
1/7/2012,9.4,2.9,718524,1.4,0.2,1
1/8/2012,10.8,2.9,890161,1.7,0.1,1
1/9/2012,12.5,3.1,733741,2,0.1,1
1/10/2012,11.1,3.3,793419,2.2,0.2,1
1/11/2012,12.7,3.5,705047,1.8,0.2,1
1/12/2012,13.6,7.5,781657,1.7,0.2,1
1/1/2013,21.4,7.2,993807,1.6,0.1,1
1/2/2013,33.5,7,985960,2,0.2,1
1/3/2013,92.5,6.1,1207261,1.5,0.1,3
1/4/2013,139.1,6.7,1676206,1.1,0.2,7
1/5/2013,127.3,6.8,1409455,1.4,0.1,3
1/6/2013,96.5,6.5,1179599,1.8,0.1,2
1/7/2013,105,6.4,1246322,2,0.1,2
1/8/2013,132.8,6,1635782,1.5,0.1,3
1/9/2013,125.8,6.3,1379629,1.2,0.1,2
1/10/2013,201.6,5.8,1690450,1,0.1,4
1/11/2013,1120,7,2689141,1.2,0.1,10
1/12/2013,731,6.6,2861455,1.5,0.1,12
1/1/2014,802.5,6.8,2544734,1.6,0.1,8
1/2/2014,578,7.7,2894168,1.1,0.1,9
1/3/2014,457,7.5,3369170,1.5,0.1,7
1/4/2014,449,7.7,3102642,2,0.1,4
1/5/2014,620.5,7.7,3019466,2.1,0.1,3
1/6/2014,620,7.7,3080267,2.1,0.1,3
1/7/2014,586,8.4,3284188,2,0.1,3
1/8/2014,478,7.9,3481882,1.7,0.1,3
1/9/2014,382.7,8.6,3589437,1.7,0.1,3
1/10/2014,323,8.8,3866088,1.7,0.1,3
1/11/2014,376,9.4,3945505,1.3,0.1,3
1/12/2014,295,9.3,4334061,0.8,0.1,3
1/1/2015,229.7,9.3,4471828,-0.1,0.1,4
1/2/2015,253,10.1,4195119,0,0.1,3
1/3/2015,242.9,9.4,4622371,-0.1,0.1,3
1/4/2015,235.1,10.2,4580507,-0.2,0.1,3
1/5/2015,232,9.8,4809899,0,0.1,3
1/6/2015,262.5,10.1,5347089,0.1,0.1,3
1/7/2015,284.8,9.7,5795693,0.2,0.1,3
1/8/2015,230.9,9.7,5425136,0.2,0.1,3
1/9/2015,237.9,10.1,5807704,0,0.1,3
1/10/2015,330,10,6112633,0.2,0.1,3
1/11/2015,372.5,9.9,6891994,0.5,0.1,4
1/12/2015,429.3,9.1,8304739,0.7,0.2,4
1/1/2016,376,9.6,8702417,1.4,0.3,4
1/2/2016,436,10.4,9158051,1,0.4,3
1/3/2016,416,10.4,8663280,0.9,0.4,3
1/4/2016,469,10.7,8103502,1.1,0.4,3
1/5/2016,531,10.4,8090462,1,0.4,4
1/6/2016,671,10.9,8742816,1,0.4,5
1/7/2016,628,22.5,8360575,0.8,0.4,4
1/8/2016,574,21.2,9039433,1.1,0.4,4
1/9/2016,609,21.7,9253352,1.5,0.4,4
1/10/2016,702,21.8,10794497,1.6,0.4,4
1/11/2016,777,22.1,11493233,1.7,0.4,4
1/12/2016,968,21.3,12605278,2.1,0.5,5
1/1/2017,964,20.4,12597369,2.5,0.7,7
1/2/2017,1191,23.7,11897424,2.7,0.7,6
1/3/2017,1070,21.8,13235862,2.4,0.8,8
1/4/2017,1350,22.9,12970508,2.2,0.9,7
1/5/2017,2298,21,15527392,1.9,0.9,16
1/6/2017,2458,22.9,14058764,1.6,1,17
